"Year","Magnitude","growth","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
1960,6259.79312797036,0,7.61400530334316,0,17562.6661462696,0.356426130055429,0,NA,NA,"Greece","GRC"
1961,7030.36082846135,12.3097949842447,6.78526129594948,12.3097949842447,17671.2247077149,0.39784230831449,4.14161782590618,NA,NA,"Greece","GRC"
1962,7014.09522193886,-0.23136232861109,8.4121322640933,-12.5411573128558,18463.0138577112,0.379899797291729,-1.79425110227618,NA,NA,"Greece","GRC"
1963,7815.86328308069,11.4308123253594,8.01948593193587,11.6621746539705,18999.9685105065,0.411361907192568,3.14621099008395,NA,NA,"Greece","GRC"
1964,8520.35877062279,9.01366185699728,7.78529533146942,-2.41715046836209,19824.6714466982,0.429785623107608,1.84237159150399,1.46718986104359,NA,"Greece","GRC"
1965,9393.78598276223,10.2510614359447,7.67034249728887,1.23739957894737,20831.3876137092,0.450943842866241,2.11582197586326,1.89035425621624,0.423164395172652,"Greece","GRC"
1966,9930.32831920313,5.71167298707321,1.0139558558974,-4.53938844887144,21930.6836563618,0.452805232832879,0.186138996663898,1.09925849036778,-0.791095765848456,"Greece","GRC"
1967,10408.2150283586,4.81239586239398,-1.32988384034619,-0.899277124679226,22235.5094759342,0.468089793023342,1.52845601904625,1.76379991463227,0.664541424264486,"Greece","GRC"
1968,11085.6427515997,6.50858693248897,-0.663358400958744,1.69619107009498,23071.3021126072,0.48049488916978,1.24050961464376,1.38265963954423,-0.381140275088039,"Greece","GRC"
1969,12322.4384752935,11.1567344483957,-3.14046536877271,4.64814751590669,23555.1926140072,0.523130448441585,4.26355592718056,1.86689650667955,0.484236867135313,"Greece","GRC"
1970,13392.308072373,8.68228800025733,-3.7581027142557,-2.47444644813833,23207.2199345419,0.577075070178472,5.39446217368867,2.52262454624463,0.655728039565084,"Greece","GRC"
1971,14379.900750027,7.37432765373211,-3.73949146884465,-1.30796034652522,23670.3457329415,0.607507001049622,3.04319308711498,3.09403536433485,0.571410818090217,"Greece","GRC"
1972,15738.2824860886,9.44639159668087,-4.68795777846864,2.07206394294876,24649.8447340946,0.638473899363759,3.09668983141372,3.40768212680834,0.313646762473494,"Greece","GRC"
1973,16934.8023714056,7.60260775834104,-6.08802092366239,-1.84378383833983,25794.1281646904,0.656537110433826,1.80632110700669,3.52084442528093,0.113162298472587,"Greece","GRC"
1974,15786.269485428,-6.7820861489172,-3.81029128083816,-14.3846939072582,25421.3696690803,0.620984222759195,-3.55528876746311,1.95707548635219,-1.56376893892873,"Greece","GRC"
1975,16634.474736178,5.37305695644535,-4.6642597563832,12.1551431053625,25120.2308506013,0.66219434188758,4.12101191283847,1.70238543418215,-0.254690052170041,"Greece","GRC"
1976,17500.3128614377,5.20508245070465,-4.79366449719811,-0.167974505740706,26223.3764438993,0.667355437575966,0.516109568838663,1.19696873052689,-0.505416703655263,"Greece","GRC"
1977,17782.120794388,1.61030225677434,-3.79861373372005,-3.59478019393031,27161.4266864969,0.654682870661881,-1.26725669140856,0.324179425962432,-0.872789304564456,"Greece","GRC"
1978,18825.0905762826,5.86527216834428,-4.11917396490633,4.25496991156994,28362.7717999046,0.663725347758357,0.904247709647643,0.143764746490622,-0.18041467947181,"Greece","GRC"
1979,19202.055031361,2.00245759004916,-3.3152861597308,-3.86281457829512,28939.6399380538,0.663520868693031,-0.0204479065325724,0.850732918676729,0.706968172186107,"Greece","GRC"
1980,19143.1240230248,-0.306899486747398,-2.51081712248787,-2.30935707679656,28589.6727263776,0.669581782423233,0.606091373020157,0.147748810713066,-0.702984107963662,"Greece","GRC"
1981,18677.4750619819,-2.43246066045872,-2.22615822792399,-2.12556117371133,29028.9014949687,0.64340964005197,-2.61721423712631,-0.478915950479928,-0.626664761192994,"Greece","GRC"
1982,18352.4398635914,-1.74025234841357,-0.495688078711197,0.692208312045156,28235.0896669897,0.649986951698888,0.657731164691799,-0.0939183792598564,0.384997571220071,"Greece","GRC"
