"Year","Magnitude","growth","gb","ga","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
1983,13550,-14.0228426395939,4.08010624537636,11.3204715877587,7.24036534238231,10.1114035252028,14570,0.929993136582018,-17.8305035007293,-4.55998856947488,-3.18059225152179,"Sweden","SWE"
1984,13020,-3.91143911439114,2.76173434630556,12.5739789458047,9.81224459949911,4.3722686074787,16210,0.803207896360271,-12.6785240221746,-8.18174371213883,-3.62175514266395,"Sweden","SWE"
1985,13080,0.460829493087558,1.34711666918242,13.6025172657547,12.2554005965723,16.7410053692978,17460,0.74914089347079,-5.40670028894811,-10.8766739093585,-2.69493019721965,"Sweden","SWE"
1986,15330,17.2018348623853,1.13311600861514,9.71380587644322,8.58068986782809,9.0864886862122,19110,0.802197802197802,5.30569087270119,-8.37108573877376,2.50558817058472,"Sweden","SWE"
1987,19360,26.2883235485975,2.46417275819262,5.69997242117245,3.23579966297983,-1.3399764411595,21390,0.905095839177186,10.2898036979383,-4.0640466482425,4.30703909053126,"Sweden","SWE"
1988,24190,24.948347107438,5.83829666371432,2.33197091776762,-3.5063257459467,-17.0938617829238,23490,1.02979991485739,12.4704075680201,1.99613556550737,6.06018221374987,"Sweden","SWE"
1989,26090,7.85448532451426,8.40279122600537,2.39571256844137,-6.00707865756401,-1.45356543183507,23770,1.09760201935212,6.78021044947383,5.88788245983706,3.8917468943297,"Sweden","SWE"
1990,27760,6.40091989267919,11.3204715877587,1.94652100482554,-9.37395058293313,-1.53780750074835,24060,1.15378221113882,5.61801917866951,8.09282635336059,2.20494389352352,"Sweden","SWE"
1991,29110,4.86311239193084,12.5739789458047,1.12436154556778,-11.4496174002369,2.79748534080706,24270,1.19942315615987,4.56409450210484,7.94450707924132,-0.148319274119269,"Sweden","SWE"
1992,31340,7.66059773273789,13.6025172657547,0.117238454850619,-13.4852788109041,-17.679742595533,25680,1.22040498442368,2.09818282638079,6.30618290492981,-1.63832417431151,"Sweden","SWE"
1993,28200,-10.0191448627951,9.71380587644322,1.69003276888753,-8.02377310755569,8.21063422449728,26390,1.06858658582797,-15.1818398595711,0.775733419411577,-5.53044948551823,"Sweden","SWE"
1994,27690,-1.80851063829787,5.69997242117245,1.09423135557618,-4.60574106559628,3.18084722190206,27650,1.00144665461121,-6.71399312167535,-1.92310729481826,-2.69884071422984,"Sweden","SWE"
1995,28070,1.37233658360419,2.33197091776762,0.595356892661753,-1.73661402510587,6.92834029562631,29040,0.966597796143251,-3.48488584679608,-3.74368829991138,-1.82058100509312,"Sweden","SWE"
1996,30400,8.3006768792305,2.39571256844137,1.20692350653586,-1.18878906190551,-5.04409793186207,30270,1.00429468120251,3.76968850592599,-3.90256949914715,-0.15888119923577,"Sweden","SWE"
1997,31390,3.25657894736842,1.94652100482554,3.81258125778421,1.86606025295867,-4.14858277024195,31270,1.00383754397186,-0.0457137230652549,-4.33134880903636,-0.428779309889209,"Sweden","SWE"
1998,31110,-0.892003822873527,1.12436154556778,6.08699633735244,4.96263479178466,1.5027399205913,32030,0.971276927880112,-3.25606160917457,-1.94619315895705,2.3851556500793,"Sweden","SWE"
