"","Var1","Var2","value"
"2","SGP","SWE",0.201252466458073
"3","PRT","SWE",0.100624529492889
"4","NZL","SWE",0.0982823311387688
"5","NOR","SWE",0.102446280121665
"6","NLD","SWE",0.0492312966714962
"7","JPN","SWE",0.0824359657883972
"8","ITA","SWE",0.0323662319289403
"9","ISR","SWE",0.138872576149748
"10","IRL","SWE",0.179012427198544
"11","HKG","SWE",0.133377809782921
"12","GBR","SWE",0.0443478993048822
"13","FRA","SWE",0.0168384772544565
"14","FIN","SWE",0.012962014112127
"15","ESP","SWE",0.0709901517407024
"16","DNK","SWE",0.0438310894538234
"17","DEU","SWE",0.0236500719034596
"18","CAN","SWE",0.045410429797999
"19","BEL","SWE",0.0387304290885057
"20","AUT","SWE",0.0468814835048715
"21","AUS","SWE",0.11679847507704
"22","ZAF","SWE",0.0336622282104357
"23","TUR","SWE",0.197201581114182
"24","THA","SWE",0.130479321932395
"25","SAU","SWE",0.110156920120172
"26","QAT","SWE",0.38743441761612
"27","PHL","SWE",0.152797616833676
"28","PER","SWE",0.164793792255051
"29","PAK","SWE",0.154362018602542
"30","MYS","SWE",0.171421694997075
"31","MEX","SWE",0.1070641777862
"32","KOR","SWE",0.179113496340286
"33","IND","SWE",0.195226787036805
"34","IDN","SWE",0.220063314555085
"35","EGY","SWE",0.164325396148567
"36","COL","SWE",0.150883949183938
"37","CHN","SWE",0.412387482397207
"38","CHL","SWE",0.166787746449369
"39","BRA","SWE",0.14539003517088
"40","ARG","SWE",0.0609169724650234
"41","ISL","SWE",0.0471322028617536
"42","JOR","SWE",0.170726104607272
"43","OMN","SWE",0.199461586523006
"44","KEN","SWE",0.218167187599977
"45","NGA","SWE",0.153090149981227
"46","MAR","SWE",0.0733810161712822
"47","TUN","SWE",0.0700090353918494
"48","BGD","SWE",0.204487635636887
"49","LKA","SWE",0.244801472984721
"50","JAM","SWE",0.0765647542526708
"51","PAN","SWE",0.170191449583502
"52","TTO","SWE",0.10044563418418
"53","BWA","SWE",0.137490722976554
"54","ZWE","SWE",0.150926813082894
"55","SWE","SGP",0.201252466458073
"57","PRT","SGP",0.160698969859181
"58","NZL","SGP",0.120420039694536
"59","NOR","SGP",0.115023426786863
"60","NLD","SGP",0.168694443238831
"61","JPN","SGP",0.267655370844058
"62","ITA","SGP",0.211396746578168
"63","ISR","SGP",0.0678371428101605
"64","IRL","SGP",0.0787761242283115
"65","HKG","SGP",0.133197534320705
"66","GBR","SGP",0.190834003480673
"67","FRA","SGP",0.196490677465385
"68","FIN","SGP",0.194363084500221
"69","ESP","SGP",0.155442072605443
"70","DNK","SGP",0.169683144988854
"71","DEU","SGP",0.209700030012966
"72","CAN","SGP",0.173763331259283
"73","BEL","SGP",0.176827539093122
"74","AUT","SGP",0.172284064410065
"75","AUS","SGP",0.120084397147409
"76","ZAF","SGP",0.182812304153341
"77","TUR","SGP",0.0398315191992522
"78","THA","SGP",0.0908153989113663
"79","SAU","SGP",0.173322128379997
"80","QAT","SGP",0.201201057092343
"81","PHL","SGP",0.0867303264576573
"82","PER","SGP",0.0598656947402704
"83","PAK","SGP",0.0875577966800675
"84","MYS","SGP",0.0476982828369595
"85","MEX","SGP",0.136550233891163
"86","KOR","SGP",0.0611005702891423
"87","IND","SGP",0.0877743675289757
"88","IDN","SGP",0.0607729777762607
"89","EGY","SGP",0.0792470042388391
"90","COL","SGP",0.0742509626553383
"91","CHN","SGP",0.230634287983421
"92","CHL","SGP",0.0479155032805375
"93","BRA","SGP",0.0748688955541322
"94","ARG","SGP",0.198806522900177
"95","ISL","SGP",0.173307539091828
"96","JOR","SGP",0.125815571886987
"97","OMN","SGP",0.0737604456642799
"98","KEN","SGP",0.0900135713883195
"99","NGA","SGP",0.217944169852248
"100","MAR","SGP",0.13783856296265
"101","TUN","SGP",0.140382872035693
"102","BGD","SGP",0.0826258006118112
"103","LKA","SGP",0.0661888555083597
"104","JAM","SGP",0.165965849895463
"105","PAN","SGP",0.103940714511518
"106","TTO","SGP",0.216963260301171
"107","BWA","SGP",0.0715917653138483
"108","ZWE","SGP",0.336153419828014
"109","SWE","PRT",0.100624529492889
"110","SGP","PRT",0.160698969859181
"112","NZL","PRT",0.0814044702537333
"113","NOR","PRT",0.0547698404392842
"114","NLD","PRT",0.0583369181827344
"115","JPN","PRT",0.137955869041623
"116","ITA","PRT",0.0946411166593389
"117","ISR","PRT",0.105243570829563
"118","IRL","PRT",0.112898792378048
"119","HKG","PRT",0.0514329353652396
"120","GBR","PRT",0.060965077875839
"121","FRA","PRT",0.084750854912747
"122","FIN","PRT",0.100938129439126
"123","ESP","PRT",0.0296343777521861
"124","DNK","PRT",0.0613453413104575
"125","DEU","PRT",0.094591318594712
"126","CAN","PRT",0.0806507256119431
"127","BEL","PRT",0.0641504865424284
"128","AUT","PRT",0.0559429992200787
"129","AUS","PRT",0.0982874197434974
"130","ZAF","PRT",0.0873073618648626
"131","TUR","PRT",0.152090708894822
"132","THA","PRT",0.104159169588675
"133","SAU","PRT",0.119178261348366
"134","QAT","PRT",0.353966744815139
"135","PHL","PRT",0.137958026242361
"136","PER","PRT",0.147718644317857
"137","PAK","PRT",0.137186137967429
"138","MYS","PRT",0.143787375885131
"139","MEX","PRT",0.0420259462903142
"140","KOR","PRT",0.10368804203018
"141","IND","PRT",0.174852733415539
"142","IDN","PRT",0.201107132556861
"143","EGY","PRT",0.144918996140972
"144","COL","PRT",0.125216795805501
"145","CHN","PRT",0.38817578284865
"146","CHL","PRT",0.139821976823679
"147","BRA","PRT",0.117273897940056
"148","ARG","PRT",0.076870316190949
"149","ISL","PRT",0.0660775966728902
"150","JOR","PRT",0.149273286401528
"151","OMN","PRT",0.172465230132252
"152","KEN","PRT",0.200115263351616
"153","NGA","PRT",0.172206598528537
"154","MAR","PRT",0.0539227342326758
"155","TUN","PRT",0.0589239519920156
"156","BGD","PRT",0.195701014044043
"157","LKA","PRT",0.226887825367541
"158","JAM","PRT",0.0534154776438743
"159","PAN","PRT",0.159284270653208
"160","TTO","PRT",0.162204397949476
"161","BWA","PRT",0.0931788634737367
"162","ZWE","PRT",0.248031549562898
"163","SWE","NZL",0.0982823311387688
"164","SGP","NZL",0.120420039694536
"165","PRT","NZL",0.0814044702537333
"167","NOR","NZL",0.0424072771547311
"168","NLD","NZL",0.0867571091719352
"169","JPN","NZL",0.179998241507429
"170","ITA","NZL",0.123285774235747
"171","ISR","NZL",0.0643889055183102
"172","IRL","NZL",0.0934303093234032
"173","HKG","NZL",0.0629617937634595
"174","GBR","NZL",0.103418734891543
"175","FRA","NZL",0.107665304559491
