"","Var1","Var2","value"
"2","SGP","SWE",0.0719005408214645
"3","PRT","SWE",0.0243412207741626
"4","NZL","SWE",0.0685992156363605
"5","NOR","SWE",0.026375652811694
"6","NLD","SWE",0.0178365394153435
"7","JPN","SWE",0.065335997364199
"8","ITA","SWE",0.04199832071576
"9","IRL","SWE",0.041493861278559
"10","HKG","SWE",0.0484379560010838
"11","GBR","SWE",0.0542612258635691
"12","FRA","SWE",0.0229552982921007
"13","FIN","SWE",0.014641871251088
"14","ESP","SWE",0.0307501447937679
"15","DNK","SWE",0.0053257700816095
"16","DEU","SWE",0.0112161525686868
"17","CHE","SWE",0.026328311593253
"18","BEL","SWE",0.00972382172112851
"19","AUT","SWE",0.00686145560446805
"20","AUS","SWE",0.0773934134331029
"21","ZAF","SWE",0.0250605853936371
"22","TUR","SWE",0.0647267327707691
"23","THA","SWE",0.0966439460585061
"24","SAU","SWE",0.0680522163479324
"25","RUS","SWE",0.13516772879336
"26","POL","SWE",0.0678925005780553
"27","PHL","SWE",0.114588963207048
"28","PER","SWE",0.120516911362727
"29","PAK","SWE",0.0971501638208412
"30","MYS","SWE",0.0803565078986847
"31","MEX","SWE",0.0400931229452621
"32","KOR","SWE",0.0594661235774111
"33","IND","SWE",0.126489282635998
"34","IDN","SWE",0.163365622436438
"35","HUN","SWE",0.034507028292028
"36","EGY","SWE",0.092085576684669
"37","CZE","SWE",0.0562602531629018
"38","COL","SWE",0.0977019712689162
"39","CHN","SWE",0.236772028447466
"40","CHL","SWE",0.0981680819164408
"41","BRA","SWE",0.114409027078739
"42","ARG","SWE",0.106392981502762
"43","KAZ","SWE",0.16550186393388
"44","ROU","SWE",0.136425500696844
"45","BHR","SWE",0.0249948654044856
"46","JOR","SWE",0.0547032536452765
"47","OMN","SWE",0.0608538890238141
"48","KEN","SWE",0.152055470799992
"49","NGA","SWE",0.106595726345826
"50","MUS","SWE",0.071943533717393
"51","MAR","SWE",0.0417697577317067
"52","TUN","SWE",0.0131229621454434
"53","BGD","SWE",0.187392823329396
"54","LKA","SWE",0.178516914100743
"55","VNM","SWE",0.227397035614896
"56","JAM","SWE",0.0310544768072969
"57","PAN","SWE",0.138807773023061
"58","TTO","SWE",0.0421841664016629
"59","BWA","SWE",0.0284038750038619
"60","ZWE","SWE",0.224726131937783
"61","LBN","SWE",0.0421334516933207
"62","PSE","SWE",0.114248389263759
"63","SWE","SGP",0.0719005408214645
"65","PRT","SGP",0.0946686992597692
"66","NZL","SGP",0.0129726965544621
"67","NOR","SGP",0.0637970428052584
"68","NLD","SGP",0.0878782471595133
"69","JPN","SGP",0.117479802843817
"70","ITA","SGP",0.112224742020896
"71","IRL","SGP",0.0820880377430812
"72","HKG","SGP",0.0585030070696125
"73","GBR","SGP",0.126054917321537
"74","FRA","SGP",0.0931072012941328
"75","FIN","SGP",0.0852947586968546
"76","ESP","SGP",0.101480059680486
"77","DNK","SGP",0.0758142380249586
"78","DEU","SGP",0.0673952742719365
"79","CHE","SGP",0.0470467613358337
"80","BEL","SGP",0.081624362542593
"81","AUT","SGP",0.0769031633486379
"82","AUS","SGP",0.0222074858573356
"83","ZAF","SGP",0.0741842226371728
"84","TUR","SGP",0.0351385627100615
"85","THA","SGP",0.0284868620832406
"86","SAU","SGP",0.020661086463113
"87","RUS","SGP",0.0841262926504578
"88","POL","SGP",0.0180138213875503
"89","PHL","SGP",0.0460775794897297
"90","PER","SGP",0.0496052144266471
"91","PAK","SGP",0.0419354128324373
"92","MYS","SGP",0.0139192113441033
"93","MEX","SGP",0.105021289152323
"94","KOR","SGP",0.0327260685509096
"95","IND","SGP",0.057590580990832
"96","IDN","SGP",0.0914650816149735
"97","HUN","SGP",0.047729484953756
"98","EGY","SGP",0.0221938575890904
"99","CZE","SGP",0.035833133922956
"100","COL","SGP",0.0343223929987121
"101","CHN","SGP",0.166730320703297
"102","CHL","SGP",0.0330029737273723
"103","BRA","SGP",0.0561007347312488
"104","ARG","SGP",0.0344924406812973
"105","KAZ","SGP",0.104326756433884
"106","ROU","SGP",0.0835558922982205
"107","BHR","SGP",0.0579979961940367
"108","JOR","SGP",0.0268860559389809
"109","OMN","SGP",0.0474629453965316
"110","KEN","SGP",0.092142256436304
"111","NGA","SGP",0.0554184728017564
"112","MUS","SGP",0.0093814557020343
"113","MAR","SGP",0.0341805940568529
"114","TUN","SGP",0.0818740081001646
"115","BGD","SGP",0.131880046875393
"116","LKA","SGP",0.106616373279278
"117","VNM","SGP",0.157355327870727
"118","JAM","SGP",0.0875460928925625
"119","PAN","SGP",0.0737842688346683
"120","TTO","SGP",0.0431683277252732
"121","BWA","SGP",0.0482235402166453
"122","ZWE","SGP",0.152825591116318
"123","LBN","SGP",0.0366786205690297
"124","PSE","SGP",0.0451781636793619
"125","SWE","PRT",0.0243412207741626
"126","SGP","PRT",0.0946686992597692
"128","NZL","PRT",0.0929404364105231
"129","NOR","PRT",0.0374842235989093
"130","NLD","PRT",0.0074207990388831
"131","JPN","PRT",0.0575355638650996
"132","ITA","PRT",0.0190888437366971
"133","IRL","PRT",0.0452606340065294
"134","HKG","PRT",0.0558000591262559
"135","GBR","PRT",0.0413423802190762
"136","FRA","PRT",0.00852800856999236
"137","FIN","PRT",0.00969934952307461
"138","ESP","PRT",0.00828044094249825
"139","DNK","PRT",0.0195898074878839
"140","DEU","PRT",0.0273412903169279
"141","CHE","PRT",0.0481279373629911
"142","BEL","PRT",0.0146366359844854
"143","AUT","PRT",0.0179707594944282
"144","AUS","PRT",0.100161571871408
"145","ZAF","PRT",0.0363197920945638
"146","TUR","PRT",0.0811234569596556
"147","THA","PRT",0.120832662714309
"148","SAU","PRT",0.091037402577574
"149","RUS","PRT",0.14790395050965
"150","POL","PRT",0.0792982318069781
"151","PHL","PRT",0.138930183981211
"152","PER","PRT",0.14398814294498
"153","PAK","PRT",0.114950483509882
"154","MYS","PRT",0.103290382232147
"155","MEX","PRT",0.0343009948525426
"156","KOR","PRT",0.0759207883124341
"157","IND","PRT",0.149257441074303
"158","IDN","PRT",0.186133780874743
"159","HUN","PRT",0.0482003769906589
"160","EGY","PRT",0.115116745618318
"161","CZE","PRT",0.0657351623732041
"162","COL","PRT",0.118841466978835
"163","CHN","PRT",0.261113249221629
"164","CHL","PRT",0.120936240354746
"165","BRA","PRT",0.12976439040099
"166","ARG","PRT",0.129161139941066
"167","KAZ","PRT",0.183767879452569
"168","ROU","PRT",0.145900409907146
"169","BHR","PRT",0.0493360861786482
"170","JOR","PRT",0.0730800509300893
"171","OMN","PRT",0.0705727534897304
"172","KEN","PRT",0.169836939697788
"173","NGA","PRT",0.119331715539203
"174","MUS","PRT",0.0962847544915556
