"","Var1","Var2","value"
"2","SGP","SWE",0.131456698368708
"3","PRT","SWE",0.106942476445449
"4","NOR","SWE",0.089020537030874
"5","NLD","SWE",0.0384729196110185
"6","JPN","SWE",0.0658415130625376
"7","ITA","SWE",0.0291181237370686
"8","IRL","SWE",0.144713537810186
"9","HKG","SWE",0.102930073912408
"10","GBR","SWE",0.0477223633518549
"11","FRA","SWE",0.0141926965707662
"12","FIN","SWE",0.0169700520420585
"13","ESP","SWE",0.0635327213253562
"14","DNK","SWE",0.044010592428865
"15","DEU","SWE",0.0249637203072291
"16","BEL","SWE",0.0350752915277861
"17","AUT","SWE",0.0450579514248218
"18","AUS","SWE",0.0723477364593986
"19","ZAF","SWE",0.0648512302680506
"20","TUR","SWE",0.149868744792068
"21","THA","SWE",0.0890606573543499
"22","SAU","SWE",0.176425907454806
"23","PHL","SWE",0.0734501002418454
"24","PER","SWE",0.122387296807535
"25","PAK","SWE",0.0534836580148834
"26","MYS","SWE",0.0774923583765792
"27","MEX","SWE",0.0541852948759646
"28","KOR","SWE",0.160554993246118
"29","IND","SWE",0.126903309052808
"30","IDN","SWE",0.16765968462873
"31","EGY","SWE",0.0737359451325862
"32","COL","SWE",0.103950360677037
"33","CHN","SWE",0.386196457149905
"34","CHL","SWE",0.128793988942302
"35","BRA","SWE",0.112907552854698
"36","ARG","SWE",0.0430431759063162
"37","OMN","SWE",0.0721796989784984
"38","KEN","SWE",0.0764700711784271
"39","NGA","SWE",0.174768365697403
"40","MAR","SWE",0.0294883103741945
"41","TUN","SWE",0.0315299857482907
"42","BGD","SWE",0.12177068973914
"43","LKA","SWE",0.224513327266484
"44","JAM","SWE",0.057669086944265
"45","PAN","SWE",0.0919144318303331
"46","TTO","SWE",0.092634910763043
"47","BWA","SWE",0.0560422772873871
"48","ZWE","SWE",0.247354295750198
"49","SWE","SGP",0.131456698368708
"51","PRT","SGP",0.0645032820477341
"52","NOR","SGP",0.0603510978918338
"53","NLD","SGP",0.09298377875769
"54","JPN","SGP",0.161208944394726
"55","ITA","SGP",0.11523023084224
"56","IRL","SGP",0.0407051892964391
"57","HKG","SGP",0.0670085792271243
"58","GBR","SGP",0.102558143280685
"59","FRA","SGP",0.123876945851716
"60","FIN","SGP",0.121035450808641
"61","ESP","SGP",0.0790042054881985
"62","DNK","SGP",0.08749926088443
"63","DEU","SGP",0.113899593693975
"64","BEL","SGP",0.0981206134883821
"65","AUT","SGP",0.0890518023016644
"66","AUS","SGP",0.0969305552586759
"67","ZAF","SGP",0.171780488248527
"68","TUR","SGP",0.0553678808322215
"69","THA","SGP",0.0498513078779475
"70","SAU","SGP",0.267803981421073
"71","PHL","SGP",0.107148773297326
"72","PER","SGP",0.0592415071146414
"73","PAK","SGP",0.1408752053856
"74","MYS","SGP",0.0727051193790412
"75","MEX","SGP",0.0868391794647888
"76","KOR","SGP",0.0447434462812367
"77","IND","SGP",0.094893477125311
"78","IDN","SGP",0.0716203715710708
"79","EGY","SGP",0.101803391451226
"80","COL","SGP",0.0747571024474297
"81","CHN","SGP",0.290349845922462
"82","CHL","SGP",0.0419419606456707
"83","BRA","SGP",0.0627656727768195
"84","ARG","SGP",0.14075099626421
"85","OMN","SGP",0.161404505051589
"86","KEN","SGP",0.175500264457577
"87","NGA","SGP",0.259427962710019
"88","MAR","SGP",0.126552797850002
"89","TUN","SGP",0.124192961701983
"90","BGD","SGP",0.083126434986653
"91","LKA","SGP",0.128474014208825
"92","JAM","SGP",0.0843612023314111
"93","PAN","SGP",0.119527634576958
"94","TTO","SGP",0.169755852420385
"95","BWA","SGP",0.0830518152091747
"96","ZWE","SGP",0.369654431849292
"97","SWE","PRT",0.106942476445449
"98","SGP","PRT",0.0645032820477341
"100","NOR","PRT",0.0459341855903572
