"","Var1","Var2","value"
"2","SGP","SWE",0.120015829578635
"3","PRT","SWE",0.0981277623698559
"4","NOR","SWE",0.0856218813202086
"5","NLD","SWE",0.038821596142108
"6","JPN","SWE",0.0729317391164819
"7","ITA","SWE",0.0227886440647747
"8","IRL","SWE",0.140974838319914
"9","HKG","SWE",0.0936476564442898
"10","GBR","SWE",0.0418061374865171
"11","FRA","SWE",0.0157525206523301
"12","FIN","SWE",0.0144593374668496
"13","ESP","SWE",0.0577736080722787
"14","DNK","SWE",0.0421169984803694
"15","DEU","SWE",0.0237977948173131
"16","BEL","SWE",0.0361710396662175
"17","AUT","SWE",0.0413858868085145
"18","AUS","SWE",0.0744376596788172
"19","ZAF","SWE",0.0605610070771417
"20","TUR","SWE",0.149997176216628
"21","THA","SWE",0.0939411330454146
"22","SAU","SWE",0.156477546148449
"23","PHL","SWE",0.0807821478877756
"24","PER","SWE",0.12852772261826
"25","PAK","SWE",0.0617275618707854
"26","MYS","SWE",0.0813490651650349
"27","MEX","SWE",0.0522330215222656
"28","KOR","SWE",0.147005046870271
"29","IND","SWE",0.135873121520285
"30","IDN","SWE",0.176145045314056
"31","EGY","SWE",0.0764648902025378
"32","COL","SWE",0.106326657084123
"33","CHN","SWE",0.389035611658339
"34","CHL","SWE",0.132260743811215
"35","BRA","SWE",0.114896586156253
"36","ARG","SWE",0.0463389762881491
"37","OMN","SWE",0.0761283842405115
"38","KEN","SWE",0.0964073742710043
"39","NGA","SWE",0.170434610763916
"40","MAR","SWE",0.0338822419092645
"41","TUN","SWE",0.0289229949203222
"42","BGD","SWE",0.143993404884009
"43","LKA","SWE",0.228857593060305
"44","JAM","SWE",0.0558456615316625
"45","PAN","SWE",0.0994239114690109
"46","TTO","SWE",0.0892085454878195
"47","BWA","SWE",0.0478546990922697
"48","ZWE","SWE",0.231421782585154
"49","SWE","SGP",0.120015829578635
"51","PRT","SGP",0.0664155192192685
"52","NOR","SGP",0.0539594239853157
"53","NLD","SGP",0.0857454079826799
"54","JPN","SGP",0.165399803543719
"55","ITA","SGP",0.115649721592775
"56","IRL","SGP",0.044558488232526
"57","HKG","SGP",0.0654744582640735
"58","GBR","SGP",0.106851732492489
"59","FRA","SGP",0.114249313517826
"60","FIN","SGP",0.112847647483384
"61","ESP","SGP",0.0816740501007284
"62","DNK","SGP",0.0797889278240842
"63","DEU","SGP",0.105527236731868
"64","BEL","SGP",0.0901091929880901
"65","AUT","SGP",0.0849713695128123
"66","AUS","SGP",0.0871685214792113
