"","Var1","Var2","value"
"2","SGP","SWE",0.108049671881821
"3","PRT","SWE",0.0488176661467079
"4","NZL","SWE",0.0792800943650813
"5","NOR","SWE",0.0271358299733277
"6","NLD","SWE",0.027693743885715
"7","JPN","SWE",0.0851301791556766
"8","ITA","SWE",0.0550389115787732
"9","ISR","SWE",0.0917377381002703
"10","IRL","SWE",0.0491598253901425
"11","HKG","SWE",0.0566073300068666
"12","GBR","SWE",0.0576529175539456
"13","FRA","SWE",0.0316557571530428
"14","FIN","SWE",0.0234027190169751
"15","ESP","SWE",0.039060473424533
"16","DNK","SWE",0.0158009307033128
"17","DEU","SWE",0.0192630625289188
"18","CHE","SWE",0.0342063579561336
"19","CAN","SWE",0.0180174093973463
"20","BEL","SWE",0.0142479014706031
"21","AUT","SWE",0.0127022130448068
"22","AUS","SWE",0.0939137524325273
"23","ZAF","SWE",0.0310513277627605
"24","TUR","SWE",0.0692793305547023
"25","THA","SWE",0.0983186841338023
"26","SAU","SWE",0.110363163719018
"27","RUS","SWE",0.126141373373563
"28","QAT","SWE",0.205841035560907
"29","POL","SWE",0.052174104238726
"30","PHL","SWE",0.139820182267433
"31","PER","SWE",0.127646627959843
"32","PAK","SWE",0.12038939488342
"33","MYS","SWE",0.102877694454607
"34","MEX","SWE",0.0356485992316534
"35","KOR","SWE",0.0595578355943348
"36","IND","SWE",0.142609286417193
"37","IDN","SWE",0.173927505939485
"38","HUN","SWE",0.0203756363970898
"39","EGY","SWE",0.127377790144289
"40","CZE","SWE",0.0490988679719718
"41","COL","SWE",0.104057715516472
"42","CHN","SWE",0.240873989152129
"43","CHL","SWE",0.105792305787678
"44","BRA","SWE",0.113986032136975
"45","ARG","SWE",0.103242424407523
"46","HRV","SWE",0.0211045110371306
"47","ISL","SWE",0.0584983837089379
"48","LTU","SWE",0.0727650946951891
"49","KAZ","SWE",0.174143045155881
"50","ROU","SWE",0.114199276809819
"51","SVN","SWE",0.0149972899661783
"52","BHR","SWE",0.0914901590428826
"53","JOR","SWE",0.139782839927407
"54","OMN","SWE",0.131896492370517
"55","KEN","SWE",0.193881561720497
"56","NGA","SWE",0.139618755769768
"57","MUS","SWE",0.0613323750282694
"58","MAR","SWE",0.0565040761725534
"59","TUN","SWE",0.0121339548394374
"60","BGD","SWE",0.21611092234862
"61","LKA","SWE",0.178753025282378
"62","VNM","SWE",0.23237523798356
"63","JAM","SWE",0.0350579018730062
"64","PAN","SWE",0.173068879838678
"65","TTO","SWE",0.0484877655385526
"66","BWA","SWE",0.0537709416347742
"67","ZWE","SWE",0.230608271947558
"68","LBN","SWE",0.0850915169812685
"69","PSE","SWE",0.157504266194367
"70","SWE","SGP",0.108049671881821
"72","PRT","SGP",0.155071009319928
"73","NZL","SGP",0.0350648330336586
"74","NOR","SGP",0.0948541770254919
"75","NLD","SGP",0.134416257207609
"76","JPN","SGP",0.176782201367459
"77","ITA","SGP",0.162322450515209
"78","ISR","SGP",0.0323761249920415
"79","IRL","SGP",0.111259998619256
"80","HKG","SGP",0.0865122547068913
"81","GBR","SGP",0.163703889073391
"82","FRA","SGP",0.139045224717514
"83","FIN","SGP",0.131339884220372
"84","ESP","SGP",0.143730065540751
"85","DNK","SGP",0.123453343383295
