"","Var1","Var2","value"
"2","SGP","SWE",0.0500510447818461
"3","PRT","SWE",0.0236382649083953
"4","NZL","SWE",0.00426136711555919
"5","NOR","SWE",0.0209953118285219
"6","NLD","SWE",0.0116817693071387
"7","JPN","SWE",0.0141160039389663
"8","ITA","SWE",0.0446172460149117
"9","ISR","SWE",0.0205310115192832
"10","IRL","SWE",0.0585950345657651
"11","HKG","SWE",0.0391432053498475
"12","GBR","SWE",0.0156688997631425
"13","FRA","SWE",0.0165559152073907
"14","FIN","SWE",0.0175380950391344
"15","ESP","SWE",0.0285805309162926
"16","DNK","SWE",0.0168302600372794
"17","DEU","SWE",0.00602615622640373
"18","CHE","SWE",0.00774823301592298
"19","BEL","SWE",0.0108480247799285
"20","AUT","SWE",0.0118996324129998
"21","AUS","SWE",0.0026392646280966
"22","ZAF","SWE",0.00872268431598644
"23","TUR","SWE",0.0663912485415603
"24","THA","SWE",0.0424362895406623
"25","SAU","SWE",0.00953391183814767
"26","RUS","SWE",0.0411430259996232
"27","POL","SWE",0.0632904658796833
"28","PHL","SWE",0.063158545145846
"29","PER","SWE",0.0733982421943999
"30","PAK","SWE",0.0249893802581244
"31","MYS","SWE",0.0474833706386317
"32","MEX","SWE",0.0119871867607378
"33","KWT","SWE",0.0840708884700611
"34","KOR","SWE",0.0465935593953312
"35","IND","SWE",0.0973365326946213
"36","IDN","SWE",0.0738966479759146
"37","HUN","SWE",0.022223057443415
"38","GRC","SWE",0.0738207390939929
"39","EGY","SWE",0.027826231308748
"40","CZE","SWE",0.0213972082567965
"41","COL","SWE",0.0417871460138324
"42","CHN","SWE",0.162580758276784
"43","CHL","SWE",0.0369946719083572
"44","BRA","SWE",0.0160774391998005
"45","ARG","SWE",0.025683719584134
"46","ARE","SWE",0.110460336587396
"47","HRV","SWE",0.00715125262272509
"48","EST","SWE",0.0348024414839415
"49","ISL","SWE",0.00483801423913888
"50","LTU","SWE",0.0752053069107109
"51","KAZ","SWE",0.0669107828910335
"52","ROU","SWE",0.0640339711702224
"53","SRB","SWE",0.0446595973161938
"54","SVN","SWE",0.00806995090247797
"55","BHR","SWE",0.0231862165584237
"56","JOR","SWE",0.0490486495618621
"57","OMN","SWE",0.0504212311765184
"58","KEN","SWE",0.0219326168657897
"59","NGA","SWE",0.0426638528449634
"60","MUS","SWE",0.0575543428264136
"61","MAR","SWE",0.0649472764971791
"62","TUN","SWE",0.0200659909778762
"63","BGD","SWE",0.0931251961652962
"64","LKA","SWE",0.095508651968688
"65","VNM","SWE",0.0999223619372399
"66","JAM","SWE",0.0345366389556974
"67","PAN","SWE",0.0876570056134495
"68","TTO","SWE",0.0299124638718941
"69","BWA","SWE",0.00584263204986546
"70","ZWE","SWE",0.0495706820982627
"71","LBN","SWE",0.0253395875358769
"72","PSE","SWE",0.0479471198897151
"73","SWE","SGP",0.0500510447818461
"75","PRT","SGP",0.0733819341153697
"76","NZL","SGP",0.0522316529518
"77","NOR","SGP",0.071046356610368
"78","NLD","SGP",0.0616825730851721
"79","JPN","SGP",0.0628711531670472
"80","ITA","SGP",0.0946653853666909
"81","ISR","SGP",0.0300408269583589
"82","IRL","SGP",0.0288375042424083
"83","HKG","SGP",0.0137190091372122
"84","GBR","SGP",0.0657199445449886
"85","FRA","SGP",0.0666069599892368
"86","FIN","SGP",0.0672270840784904
"87","ESP","SGP",0.0786315756981387
"88","DNK","SGP",0.0668813048191255
"89","DEU","SGP",0.0452660320866727
"90","CHE","SGP",0.057377117561587
"91","BEL","SGP",0.0607470184391966
"92","AUT","SGP",0.0600658024039954
"93","AUS","SGP",0.049518512457461
"94","ZAF","SGP",0.0496626155181845
"95","TUR","SGP",0.018715771146847
"96","THA","SGP",0.0084971193909415
"97","SAU","SGP",0.0537393251773476
"98","RUS","SGP",0.0228772981529188
"99","POL","SGP",0.017155525631811
"100","PHL","SGP",0.0190275742955345
"101","PER","SGP",0.0276280817956849
"102","PAK","SGP",0.0304365216103653
"103","MYS","SGP",0.00849161934048975
"104","MEX","SGP",0.0602141675998034
"105","KWT","SGP",0.134121933251907
"106","KOR","SGP",0.00373562378981107
"107","IND","SGP",0.0501930178617653
"108","IDN","SGP",0.02548374509719
"109","HUN","SGP",0.0374278961463304
"110","GRC","SGP",0.123564408300967
"111","EGY","SGP",0.0280943130687043
"112","CZE","SGP",0.0316617340124822
"113","COL","SGP",0.0124284566555236
"114","CHN","SGP",0.113074246770806
"115","CHL","SGP",0.0179873835200098
"116","BRA","SGP",0.0469778402060246
"117","ARG","SGP",0.046720691832921
"118","ARE","SGP",0.153298920671407
"119","HRV","SGP",0.0545904589971499
"120","EST","SGP",0.0216867563031321
"121","ISL","SGP",0.0547144542223695
"122","LTU","SGP",0.0279258745825685
"123","KAZ","SGP",0.0227178947949342
"124","ROU","SGP",0.0211953870862118
"125","SRB","SGP",0.0103115596802597
"126","SVN","SGP",0.0508753098883525
"127","BHR","SGP",0.0695593587043554
"128","JOR","SGP",0.0907562896779732
"129","OMN","SGP",0.100164900383493
"130","KEN","SGP",0.0301081103128938
"131","NGA","SGP",0.0263593791709121
"132","MUS","SGP",0.0100999201573266
"133","MAR","SGP",0.0222538231565813
"134","TUN","SGP",0.0386924787510223
"135","BGD","SGP",0.0463452338092841
"136","LKA","SGP",0.0463065998815142
"137","VNM","SGP",0.052816211836198
"138","JAM","SGP",0.0845876837375434
"139","PAN","SGP",0.0380018955795979
"140","TTO","SGP",0.0506364899123191
"141","BWA","SGP",0.0502793499704706
"142","ZWE","SGP",0.0810823405761352
"143","LBN","SGP",0.0559497475737389
"144","PSE","SGP",0.0164556530357031
"145","SWE","PRT",0.0236382649083953
"146","SGP","PRT",0.0733819341153697
"148","NZL","PRT",0.0232312603451338
"149","NOR","PRT",0.00499626148705812
"150","NLD","PRT",0.0125684482123418
"151","JPN","PRT",0.0124359145190084
"152","ITA","PRT",0.0226745054714813
"153","ISR","PRT",0.0441692764276784
"154","IRL","PRT",0.0712514078214173
"155","HKG","PRT",0.0617677470612973
"156","GBR","PRT",0.00988639768454591
"157","FRA","PRT",0.00765152676494196
"158","FIN","PRT",0.0112752502574945
"159","ESP","PRT",0.00525288422611392
"160","DNK","PRT",0.00879166620874194
"161","DEU","PRT",0.029664421134799
"162","CHE","PRT",0.0160409521579169
"163","BEL","PRT",0.0127902401284667
"164","AUT","PRT",0.0134921554534015
"165","AUS","PRT",0.0242481859568247
"166","ZAF","PRT",0.0277350812589216
"167","TUR","PRT",0.0895482096130185
"168","THA","PRT",0.0650665355846923
"169","SAU","PRT",0.0225011590243044
"170","RUS","PRT",0.0613605744213443
"171","POL","PRT",0.0869287307880786
"172","PHL","PRT",0.0850812727653584
"173","PER","PRT",0.0967258888845786
"174","PAK","PRT",0.0458317623762318
"175","MYS","PRT",0.0695285317042813
"176","MEX","PRT",0.0150079808866616
"177","KWT","PRT",0.0633257088627401
"178","KOR","PRT",0.0699212060855099
"179","IND","PRT",0.119827442446495
"180","IDN","PRT",0.0970519882719219
"181","HUN","PRT",0.0399490299655769
"182","GRC","PRT",0.0501824741855976
"183","EGY","PRT",0.0491996157996449
"184","CZE","PRT",0.0419687669113258
"185","COL","PRT",0.0654254109222276
"186","CHN","PRT",0.18621902318518
"187","CHL","PRT",0.0603626273884748
"188","BRA","PRT",0.036972134116021
"189","ARG","PRT",0.0459012680058551
"190","ARE","PRT",0.0900239478958
"191","HRV","PRT",0.0251817886137889
"192","EST","PRT",0.0567251691034539
"193","ISL","PRT",0.0226252464581025
"194","LTU","PRT",0.097287815087901
"195","KAZ","PRT",0.0896158607929962
"196","ROU","PRT",0.0848942944738871
"197","SRB","PRT",0.0650959860077902
"198","SVN","PRT",0.02770822268474
"199","BHR","PRT",0.00668130805888822
"200","JOR","PRT",0.0352857644671392
"201","OMN","PRT",0.0322320806481956
"202","KEN","PRT",0.0445551791658856
"203","NGA","PRT",0.0640372373358604
"204","MUS","PRT",0.0811926077348089
"205","MAR","PRT",0.0866091991339161
"206","TUN","PRT",0.0405023796694726
"207","BGD","PRT",0.115047923784809
"208","LKA","PRT",0.119146916877083
"209","VNM","PRT",0.12238588817326
"210","JAM","PRT",0.0126220334983236
"211","PAN","PRT",0.111295270521845
"212","TTO","PRT",0.0497333248889806
"213","BWA","PRT",0.0264265456837718
"214","ZWE","PRT",0.0351781982258885
"215","LBN","PRT",0.0460869031705758
"216","PSE","PRT",0.069320504380612
"217","SWE","NZL",0.00426136711555919
"218","SGP","NZL",0.0522316529518
"219","PRT","NZL",0.0232312603451338
"221","NOR","NZL",0.019747266525817
"222","NLD","NZL",0.0123591391496419
"223","JPN","NZL",0.0120402828147572
"224","ITA","NZL",0.0449703585747085
"225","ISR","NZL",0.0221908259934411
"226","IRL","NZL",0.0577362866204405
"227","HKG","NZL",0.0412455134164385
"228","GBR","NZL",0.0138745844361066
"229","FRA","NZL",0.0164718817813621
"230","FIN","NZL",0.019108951915054
"231","ESP","NZL",0.0274281692882896
"232","DNK","NZL",0.015124418878072
"233","DEU","NZL",0.00696562086512736
"234","CHE","NZL",0.00908426359949732
"235","BEL","NZL",0.0115854464977623
"236","AUT","NZL",0.013323188065304
"237","AUS","NZL",0.00486624382509249
"238","ZAF","NZL",0.0112722575987957
"239","TUR","NZL",0.066590872406714
"240","THA","NZL",0.0437345335608585
"241","SAU","NZL",0.0106436694593297
"242","RUS","NZL",0.0447737195703367
"243","POL","NZL",0.0649759291663468
"244","PHL","NZL",0.0618500124202246
"245","PER","NZL",0.0755788503643539
"246","PAK","NZL",0.0234277523981528
"247","MYS","NZL",0.0465711944979768
"248","MEX","NZL",0.00963639585226561
"249","KWT","NZL",0.0842106599667115
"250","KOR","NZL",0.0487741675652852
"251","IND","NZL",0.0968701052401909
"252","IDN","NZL",0.0740946510656174
"253","HUN","NZL",0.0213643094980904
"254","GRC","NZL",0.0731398113919022
"255","EGY","NZL",0.0300265118860483
"256","CZE","NZL",0.0249911482988676
"257","COL","NZL",0.0432351591840211
"258","CHN","NZL",0.163261685978875
"259","CHL","NZL",0.0389786066221836
"260","BRA","NZL",0.018772687598071
"261","ARG","NZL",0.0293144131548475
"262","ARE","NZL",0.107765088189126
"263","HRV","NZL",0.00968826530636507
"264","EST","NZL",0.0368130930713803
"265","ISL","NZL",0.00704558849908793
"266","LTU","NZL",0.0743304778815964
"267","KAZ","NZL",0.0684688222727715
"268","ROU","NZL",0.0667292195684929
"269","SRB","NZL",0.0473548457144644
"270","SVN","NZL",0.0117157733622147
"271","BHR","NZL",0.0189248494428645
"272","JOR","NZL",0.0504722052141662
"273","OMN","NZL",0.051617946276217
"274","KEN","NZL",0.0221235426389062
"275","NGA","NZL",0.0440633532327809
"276","MUS","NZL",0.0592350650041018
"277","MAR","NZL",0.063613338960444
"278","TUN","NZL",0.0227612393761468
"279","BGD","NZL",0.0920146743496035
"280","LKA","NZL",0.0961895796707787
"281","VNM","NZL",0.0994285509669556
"282","JAM","NZL",0.032663967247954
"283","PAN","NZL",0.0883379333155402
"284","TTO","NZL",0.0341738309874532
"285","BWA","NZL",0.00496483723547927
"286","ZWE","NZL",0.0465345800385389
"287","LBN","NZL",0.0280348359341475
"288","PSE","NZL",0.0493466202775326
"289","SWE","NOR",0.0209953118285219
"290","SGP","NOR",0.071046356610368
"291","PRT","NOR",0.00499626148705812
"292","NZL","NOR",0.019747266525817
"294","NLD","NOR",0.00988569815957568
"295","JPN","NOR",0.00911992345930746
"296","ITA","NOR",0.0252230920488915
"297","ISR","NOR",0.0410055296520091
"298","IRL","NOR",0.0743616482332005
"299","HKG","NOR",0.0594354121996405
"300","GBR","NOR",0.00712314057766961
"301","FRA","NOR",0.00443939662113119
"302","FIN","NOR",0.00723124439501482
"303","ESP","NOR",0.00769901110488003
"304","DNK","NOR",0.00767059976314621
"305","DEU","NOR",0.026436242111904
"306","CHE","NOR",0.0137086172962602
"307","BEL","NOR",0.0102993381711715
"308","AUT","NOR",0.0109805542063726
"309","AUS","NOR",0.021527844152907
"310","ZAF","NOR",0.0249912745908624
"311","TUR","NOR",0.0863200305901236
"312","THA","NOR",0.0625492372194265
"313","SAU","NOR",0.0192729800014095
"314","RUS","NOR",0.0585741353828838
"315","POL","NOR",0.0837906328249148
"316","PHL","NOR",0.0815972789460416
"317","PER","NOR",0.0943935540229218
"318","PAK","NOR",0.0428367044151107
"319","MYS","NOR",0.0663003526813863
"320","MEX","NOR",0.0117798018637666
"321","KWT","NOR",0.064569892292462
"322","KOR","NOR",0.0675888712238532
"323","IND","NOR",0.1165992634236
"324","IDN","NOR",0.0938238092490269
"325","HUN","NOR",0.0390298329663606
"326","GRC","NOR",0.0534106532084926
"327","EGY","NOR",0.046623535997122
"328","CZE","NOR",0.0393846225978858
"329","COL","NOR",0.0621972318993327
"330","CHN","NOR",0.182990844162285
"331","CHL","NOR",0.0577933102807515
"332","BRA","NOR",0.0343960543134981
"333","ARG","NOR",0.0426271339471083
"334","ARE","NOR",0.0927066979485661
"335","HRV","NOR",0.0212993568997123
"336","EST","NOR",0.0532411752841372
"337","ISL","NOR",0.0204893635866531
"338","LTU","NOR",0.094059636065006
"339","KAZ","NOR",0.0872835259313395
"340","ROU","NOR",0.0817876098090526
"341","SRB","NOR",0.0624132359550241
"342","SVN","NOR",0.0244340886259932
"343","BHR","NOR",0.00797819139564146
"344","JOR","NOR",0.032175524055356
"345","OMN","NOR",0.0320121009267363
