"","Var1","Var2","value"
"2","SGP","SWE",0.0958500220643195
"3","PRT","SWE",0.0393939500402841
"4","NZL","SWE",0.0162424214664098
"5","NOR","SWE",0.0302098561321659
"6","NLD","SWE",0.0215209273975499
"7","JPN","SWE",0.0216893088230281
"8","ITA","SWE",0.0156207119040662
"9","ISR","SWE",0.0218959243056517
"10","IRL","SWE",0.115687489122104
"11","HKG","SWE",0.0673512112629421
"12","GBR","SWE",0.0246979024082812
"13","FRA","SWE",0.0131707735676989
"14","FIN","SWE",0.01768871444369
"15","ESP","SWE",0.0299641681132879
"16","DNK","SWE",0.00868959836868544
"17","DEU","SWE",0.0152606612745068
"18","CHE","SWE",0.032880337012827
"19","CAN","SWE",0.0265566619706945
"20","BEL","SWE",0.0117845260846631
"21","AUT","SWE",0.0165941553329612
"22","AUS","SWE",0.0125132092579143
"23","ZAF","SWE",0.0688060355153155
"24","TUR","SWE",0.0311015488563047
"25","THA","SWE",0.110590944157527
"26","SAU","SWE",0.1192290939798
"27","PHL","SWE",0.0496131511274136
"28","PER","SWE",0.0718212248927348
"29","PAK","SWE",0.0147231388122753
"30","MYS","SWE",0.0815200476176003
"31","MEX","SWE",0.0363186701416146
"32","KOR","SWE",0.16053045400314
"33","IND","SWE",0.070335108083462
"34","IDN","SWE",0.0545603510700883
"35","GRC","SWE",0.0112066452652276
"36","EGY","SWE",0.0269227298456238
"37","COL","SWE",0.0262264267746466
"38","CHN","SWE",0.228307180597586
"39","CHL","SWE",0.0855443294381434
"40","BRA","SWE",0.0366444604489091
"41","ARG","SWE",0.0391775912312664
"42","ARE","SWE",0.149060863822308
"43","ISL","SWE",0.00541903123541998
"44","OMN","SWE",0.0199032251844579
"45","KEN","SWE",0.0733780697078736
"46","NGA","SWE",0.0532599429031709
"47","MAR","SWE",0.0215920064077253
"48","TUN","SWE",0.0257069750711152
"49","BGD","SWE",0.0195571358781648
"50","LKA","SWE",0.0681784412478236
"51","JAM","SWE",0.0320021761899104
"52","PAN","SWE",0.0270384889198712
"53","TTO","SWE",0.0688241905798485
"54","BWA","SWE",0.0746377911298016
"55","ZWE","SWE",0.0974791463580035
"56","SWE","SGP",0.0958500220643195
"58","PRT","SGP",0.0625446402186095
"59","NZL","SGP",0.108877255282504
"60","NOR","SGP",0.0657676427213718
"61","NLD","SGP",0.0751611563131721
"62","JPN","SGP",0.0877842756711416
"63","ITA","SGP",0.0931093236928576
"64","ISR","SGP",0.07490402989107
"65","IRL","SGP",0.043234117179162
"66","HKG","SGP",0.0374215360282155
"67","GBR","SGP",0.0712005758388928
"68","FRA","SGP",0.0963298741116884
"69","FIN","SGP",0.0830648388741614
"70","ESP","SGP",0.0689192765517141
"71","DNK","SGP",0.0880798890486711
"72","DEU","SGP",0.093220874876918
"73","CHE","SGP",0.122517833777381
"74","CAN","SGP",0.114948674125688
"75","BEL","SGP",0.0868277326503114
"76","AUT","SGP",0.0818615449476032
"77","AUS","SGP",0.0835421072043901
"78","ZAF","SGP",0.164347020791739
"79","TUR","SGP",0.0662899074707847
"80","THA","SGP",0.0167499767933567
"81","SAU","SGP",0.194492484694862
"82","PHL","SGP",0.139240282249445
"83","PER","SGP",0.159017103777767
"84","PAK","SGP",0.0930808256640308
"85","MYS","SGP",0.0203308650063762
"86","MEX","SGP",0.126828868890376
"87","KOR","SGP",0.068710214140115
"88","IND","SGP",0.0291173456932856
"89","IDN","SGP",0.0503303941217245
"90","GRC","SGP",0.0973466935408455
"91","EGY","SGP",0.0694346485374695
"92","COL","SGP",0.100441593836949
"93","CHN","SGP",0.154113029223434
"94","CHL","SGP",0.0198938656826562
"95","BRA","SGP",0.126067915872502
"96","ARG","SGP",0.122975465764613
"97","ARE","SGP",0.235287963908498
"98","ISL","SGP",0.0976779869998079
"99","OMN","SGP",0.0904869378494853
"100","KEN","SGP",0.164074968174544
"101","NGA","SGP",0.145495221604395
"102","MAR","SGP",0.0776545863670768
"103","TUN","SGP",0.0713621004082567
"104","BGD","SGP",0.0768022579995967
"105","LKA","SGP",0.0339387894393168
"106","JAM","SGP",0.103052700956645
"107","PAN","SGP",0.106484714527241
"108","TTO","SGP",0.0885471215219237
"109","BWA","SGP",0.0305611872552967
"110","ZWE","SGP",0.168073911889222
"111","SWE","PRT",0.0393939500402841
"112","SGP","PRT",0.0625446402186095
"114","NZL","PRT",0.054828759958389
"115","NOR","PRT",0.0147837447559986
"116","NLD","PRT",0.0201574204212565
"117","JPN","PRT",0.0304702001560057
"118","ITA","PRT",0.0318324538149655
"119","ISR","PRT",0.0217829377763739
"120","IRL","PRT",0.093083442396188
"121","HKG","PRT",0.0291890537445447
"122","GBR","PRT",0.0152376208290012
"123","FRA","PRT",0.0362392521540553
"124","FIN","PRT",0.0272649267763344
"125","ESP","PRT",0.00974867127596885
"126","DNK","PRT",0.0320343816650562
"127","DEU","PRT",0.031980896423653
"128","CHE","PRT",0.0615520200938136
"129","CAN","PRT",0.05765536089469
"130","BEL","PRT",0.027665679241309
"131","AUT","PRT",0.0237549227522088
"132","AUS","PRT",0.0284119135316074
"133","ZAF","PRT",0.107935324241503
"134","TUR","PRT",0.0156701596607731
"135","THA","PRT",0.0737051717164979
"136","SAU","PRT",0.145137290103062
"137","PHL","PRT",0.0839460535586481
"138","PER","PRT",0.110107184419234
"139","PAK","PRT",0.0325984650703737
"140","MYS","PRT",0.0481556364239626
"141","MEX","PRT",0.0710081225044745
"142","KOR","PRT",0.12886299206726
"143","IND","PRT",0.0487123309750278
"144","IDN","PRT",0.0188396095536221
"145","GRC","PRT",0.0440409723141507
"146","EGY","PRT",0.0142628658442737
"147","COL","PRT",0.0416046205894047
"148","CHN","PRT",0.2044452140119
"149","CHL","PRT",0.0534022039657268
"150","BRA","PRT",0.0704754479682095
"151","ARG","PRT",0.0742611307695459
"152","ARE","PRT",0.183575070891691
"153","ISL","PRT",0.0420742142805567
"154","OMN","PRT",0.0316748673370265
"155","KEN","PRT",0.102491178741306
"156","NGA","PRT",0.0869914226998477
"157","MAR","PRT",0.0179790563307721
"158","TUN","PRT",0.024894767342695
"159","BGD","PRT",0.0276199026226316
"160","LKA","PRT",0.0411879027823689
"161","JAM","PRT",0.0484462071418172
"162","PAN","PRT",0.0620312197903626
"163","TTO","PRT",0.0666932970303244
"164","BWA","PRT",0.0368474853462874
"165","ZWE","PRT",0.107851367479638
"166","SWE","NZL",0.0162424214664098
"167","SGP","NZL",0.108877255282504
"168","PRT","NZL",0.054828759958389
"170","NOR","NZL",0.0435267641138359
"171","NLD","NZL",0.0359274750785264
"172","JPN","NZL",0.0379234872026799
"173","ITA","NZL",0.0245138618828151
"174","ISR","NZL",0.0356579999618706
"175","IRL","NZL",0.12811191175451
"176","HKG","NZL",0.0821642649259944
"177","GBR","NZL",0.0398860378581886
"178","FRA","NZL",0.0193472548514672
"179","FIN","NZL",0.031620912969162
"180","ESP","NZL",0.0453089498608374
"181","DNK","NZL",0.0231021295752425
"182","DEU","NZL",0.0249420667344541
"183","CHE","NZL",0.0198383613800496
"184","CAN","NZL",0.0126244634452225
"185","BEL","NZL",0.02716308071708
"186","AUT","NZL",0.031596275367533
"187","AUS","NZL",0.0266080199011008
"188","ZAF","NZL",0.0569962338522848
"189","TUR","NZL",0.0459885652470912
"190","THA","NZL",0.124980841930418
"191","SAU","NZL",0.108152587281617
"192","PHL","NZL",0.03827305351175
"193","PER","NZL",0.0555892211586878
"194","PAK","NZL",0.0257753125869266
"195","MYS","NZL",0.093777596682129
"196","MEX","NZL",0.0242113662143223
"197","KOR","NZL",0.172117678045778
"198","IND","NZL",0.081335336756083
"199","IDN","NZL",0.0689502488429792
"200","GRC","NZL",0.0156916911541111
"201","EGY","NZL",0.0412064984845083
"202","COL","NZL",0.0133063308346849
"203","CHN","NZL",0.240467974341413
"204","CHL","NZL",0.0975412845961839
"205","BRA","NZL",0.0224967430659591
"206","ARG","NZL",0.0265900971194196
"207","ARE","NZL",0.135031450025728
"208","ISL","NZL",0.0173108696944796
"209","OMN","NZL",0.0252484185488022
"210","KEN","NZL",0.0603424724215058
"211","NGA","NZL",0.0436500883596574
"212","MAR","NZL",0.0369410354799578
"213","TUN","NZL",0.0378701582614588
"214","BGD","NZL",0.0320749972829074
"215","LKA","NZL",0.0786685329833727
"216","JAM","NZL",0.0200371386700332
"217","PAN","NZL",0.0132516217409422
"218","TTO","NZL",0.0806111323691655
"219","BWA","NZL",0.0908697948638486
"220","ZWE","NZL",0.0861171395314009
"221","SWE","NOR",0.0302098561321659
"222","SGP","NOR",0.0657676427213718
"223","PRT","NOR",0.0147837447559986
"224","NZL","NOR",0.0435267641138359
"226","NLD","NOR",0.00939351359180024
"227","JPN","NOR",0.0288660938843859
"228","ITA","NOR",0.0292474167476423
"229","ISR","NOR",0.0139184171361694
"230","IRL","NOR",0.0945246543474963
"231","HKG","NOR",0.042467868305686
"232","GBR","NOR",0.00551195372388474
"233","FRA","NOR",0.0312298959613585
"234","FIN","NOR",0.0174246729420078
"235","ESP","NOR",0.00541437254733851
"236","DNK","NOR",0.0223122463272993
"237","DEU","NOR",0.0306778620198873
"238","CHE","NOR",0.0574564904663454
"239","CAN","NOR",0.0491810314043162
"240","BEL","NOR",0.0213599694864514
"241","AUT","NOR",0.016658651400876
"242","AUS","NOR",0.0179019412722365
"243","ZAF","NOR",0.098706854859585
"244","TUR","NOR",0.0128420979851276
"245","THA","NOR",0.081482774894545
"246","SAU","NOR",0.13574001716253
"247","PHL","NOR",0.0736001163172909
"248","PER","NOR",0.0953732021585768
"249","PAK","NOR",0.0313215123015116
