"","Var1","Var2","value"
"2","SGP","SWE",0.0981841333680559
"3","PRT","SWE",0.024078469181079
"4","NZL","SWE",0.0157926796480082
"5","NOR","SWE",0.017505218363878
"6","NLD","SWE",0.0135619646765557
"7","JPN","SWE",0.0283968247782027
"8","ITA","SWE",0.0470836778369245
"9","ISR","SWE",0.0181745243015407
"10","IRL","SWE",0.115372024502515
"11","HKG","SWE",0.0679462405960466
"12","GBR","SWE",0.0160641252938177
"13","FRA","SWE",0.0261633097507655
"14","FIN","SWE",0.0110055950304737
"15","ESP","SWE",0.0173246237402528
"16","DNK","SWE",0.0218903376868338
"17","DEU","SWE",0.01695389674308
"18","CHE","SWE",0.0420172592611906
"19","CAN","SWE",0.0251469372755727
"20","BEL","SWE",0.0121925795471663
"21","AUT","SWE",0.00929948123878732
"22","AUS","SWE",0.0112415043881182
"23","ZAF","SWE",0.0653149091260625
"24","TUR","SWE",0.0582836579350069
"25","THA","SWE",0.104471303187851
"26","SAU","SWE",0.112490158341441
"27","PHL","SWE",0.0298920424893828
"28","PER","SWE",0.0455864879453056
"29","PAK","SWE",0.00884434478113255
"30","MYS","SWE",0.0841695146069646
"31","MEX","SWE",0.0497997483546818
"32","KOR","SWE",0.155021583304039
"33","IND","SWE",0.133230299372343
"34","IDN","SWE",0.0726234681906971
"35","GRC","SWE",0.0444609844422733
"36","EGY","SWE",0.0357998156383648
"37","COL","SWE",0.0210161547087268
"38","CHN","SWE",0.31245004198314
"39","CHL","SWE",0.0878419505238365
"40","BRA","SWE",0.0319667533308652
"41","ARG","SWE",0.034163497064532
"42","ARE","SWE",0.203724172965264
"43","ISL","SWE",0.00524643400815716
"44","OMN","SWE",0.0497008354490553
"45","KEN","SWE",0.0694945115510737
"46","NGA","SWE",0.0333016855523575
"47","MAR","SWE",0.0449257263889216
"48","TUN","SWE",0.0398676953867908
"49","BGD","SWE",0.0882713232830846
"50","LKA","SWE",0.122262229320807
"51","JAM","SWE",0.0564438415300395
"52","PAN","SWE",0.0792114749614181
"53","TTO","SWE",0.0917305720030716
"54","BWA","SWE",0.0687320397532311
"55","ZWE","SWE",0.139106660463435
"56","SWE","SGP",0.0981841333680559
"58","PRT","SGP",0.105094199936727
"59","NZL","SGP",0.11043854142183
"60","NOR","SGP",0.10065500469801
"61","NLD","SGP",0.0976693037862961
"62","JPN","SGP",0.121730906973129
"63","ITA","SGP",0.13981043056879
"64","ISR","SGP",0.0947702827711662
"65","IRL","SGP",0.0227039777018394
"66","HKG","SGP",0.0358264136257196
"67","GBR","SGP",0.0937343918093348
"68","FRA","SGP",0.11950080458032
"69","FIN","SGP",0.0891586877735087
"70","ESP","SGP",0.100582468308679
"71","DNK","SGP",0.115089765126813
"72","DEU","SGP",0.11020013613409
"73","CHE","SGP",0.135318456163063
"74","CAN","SGP",0.119738426421893
"75","BEL","SGP",0.105404955710864
"76","AUT","SGP",0.101288201772506
"77","AUS","SGP",0.0893568144263918
"78","ZAF","SGP",0.163441710199807
"79","TUR","SGP",0.0532349361525942
"80","THA","SGP",0.0100974757727927
"81","SAU","SGP",0.208181279949667
"82","PHL","SGP",0.115587905649239
"83","PER","SGP",0.116432409817433
"84","PAK","SGP",0.101639287915945
"85","MYS","SGP",0.0195073812962524
"86","MEX","SGP",0.142327497382814
"87","KOR","SGP",0.0611571302429966
"88","IND","SGP",0.0489073010355427
"89","IDN","SGP",0.0373175811110772
"90","GRC","SGP",0.12442967527716
"91","EGY","SGP",0.0648560862051953
"92","COL","SGP",0.097157792177944
"93","CHN","SGP",0.223591494502626
"94","CHL","SGP",0.0143687838518509
"95","BRA","SGP",0.125791476710203
"96","ARG","SGP",0.126762080834639
"97","ARE","SGP",0.296175967315614
"98","ISL","SGP",0.0978068797123879
"99","OMN","SGP",0.142634138522643
"100","KEN","SGP",0.164153744491715
"101","NGA","SGP",0.122509688618543
"102","MAR","SGP",0.0658483745609376
"103","TUN","SGP",0.0643859182896688
"104","BGD","SGP",0.04622366997808
"105","LKA","SGP",0.0384679553868678
"106","JAM","SGP",0.14914645970891
"107","PAN","SGP",0.0686019354159517
"108","TTO","SGP",0.0622320702491595
"109","BWA","SGP",0.0380438900870715
"110","ZWE","SGP",0.232019231520057
"111","SWE","PRT",0.024078469181079
"112","SGP","PRT",0.105094199936727
"114","NZL","PRT",0.0384282125026367
"115","NOR","PRT",0.0101025136251564
"116","NLD","PRT",0.0125328030779628
"117","JPN","PRT",0.027644204608771
"118","ITA","PRT",0.039700088635242
"119","ISR","PRT",0.0195554609722405
"120","IRL","PRT",0.113788367042748
"121","HKG","PRT",0.0773846474588508
"122","GBR","PRT",0.0114226631469182
"123","FRA","PRT",0.0295364977715778
"124","FIN","PRT",0.0162512241076589
"125","ESP","PRT",0.00694317807140929
"126","DNK","PRT",0.0253821313819456
"127","DEU","PRT",0.0205001551329475
"128","CHE","PRT",0.0511073164078077
"129","CAN","PRT",0.0407868446276638
"130","BEL","PRT",0.0192605129166105
"131","AUT","PRT",0.015442953874376
"132","AUS","PRT",0.0182236335542472
"133","ZAF","PRT",0.0873039415542849
"134","TUR","PRT",0.0718497312187982
"135","THA","PRT",0.101982714081238
"136","SAU","PRT",0.124481412030898
"137","PHL","PRT",0.0467170361711779
"138","PER","PRT",0.0588094953994202
"139","PAK","PRT",0.01648435854871
"140","MYS","PRT",0.0859481310899163
"141","MEX","PRT",0.0594070846131565
"142","KOR","PRT",0.158093503483252
"143","IND","PRT",0.146796372656134
"144","IDN","PRT",0.0857526235339515
"145","GRC","PRT",0.0422740074268115
"146","EGY","PRT",0.0491948422718292
"147","COL","PRT",0.03462331122639
"148","CHN","PRT",0.325811886799873
"149","CHL","PRT",0.09186848770084
"150","BRA","PRT",0.0497455237559019
"151","ARG","PRT",0.0526276496384308
"152","ARE","PRT",0.208920527819693
"153","ISL","PRT",0.0255818211758359
"154","OMN","PRT",0.0387132399754749
"155","KEN","PRT",0.080942575936001
"156","NGA","PRT",0.0504430413342235
"157","MAR","PRT",0.058054881732176
"158","TUN","PRT",0.0527933766030795
"159","BGD","PRT",0.101400478626339
"160","LKA","PRT",0.135712049412559
"161","JAM","PRT",0.0571423977019559
"162","PAN","PRT",0.0923406303046725
"163","TTO","PRT",0.102370010763834
"164","BWA","PRT",0.0685617380050215
"165","ZWE","PRT",0.13209417549668
"166","SWE","NZL",0.0157926796480082
"167","SGP","NZL",0.11043854142183
"168","PRT","NZL",0.0384282125026367
"170","NOR","NZL",0.0309800819287541
"171","NLD","NZL",0.0274538569178399
"172","JPN","NZL",0.0241310769254802
"173","ITA","NZL",0.0344836631457346
"174","ISR","NZL",0.0314114040881718
"175","IRL","NZL",0.130645162856773
