"","Var1","Var2","value"
"2","SGP","SWE",0.0235260385412208
"3","PRT","SWE",0.0207814821925982
"4","NZL","SWE",0.00735353725335564
"5","NOR","SWE",0.0105988790544335
"6","NLD","SWE",0.0121938003362594
"7","JPN","SWE",0.0149175725805975
"8","ITA","SWE",0.0232075380347665
"9","ISR","SWE",0.0163294500539905
"10","IRL","SWE",0.00536702750744478
"11","HKG","SWE",0.0279634420311783
"12","GBR","SWE",0.00741218551192957
"13","FRA","SWE",0.0163058115476586
"14","FIN","SWE",0.00418144655646813
"15","ESP","SWE",0.0112988887182335
"16","DNK","SWE",0.0130898083942516
"17","DEU","SWE",0.0158591353087813
"18","CHE","SWE",0.0127278276170916
"19","CAN","SWE",0.00670639889535563
"20","BEL","SWE",0.00913843416174148
"21","AUT","SWE",0.00959572435224815
"22","AUS","SWE",0.00590349764371811
"23","ZAF","SWE",0.00680036806277107
"24","TUR","SWE",0.0268384848314196
"25","THA","SWE",0.0219942597293588
"26","SAU","SWE",0.011179319709607
"27","RUS","SWE",0.0500543175540595
"28","POL","SWE",0.0209966271114341
"29","PHL","SWE",0.00776758312505277
"30","PER","SWE",0.0280672513700574
"31","PAK","SWE",0.00545143985112229
"32","MYS","SWE",0.00938916076799134
"33","MEX","SWE",0.0188152399686781
"34","KWT","SWE",0.0344597768995589
"35","KOR","SWE",0.0192334128451271
"36","IND","SWE",0.0303518612674361
"37","IDN","SWE",0.0141688934683334
"38","HUN","SWE",0.0158540557099003
"39","GRC","SWE",0.011834263706312
"40","EGY","SWE",0.00892693428999403
"41","CZE","SWE",0.0236292178140753
"42","COL","SWE",0.0104668648645598
"43","CHN","SWE",0.0827750836387845
"44","CHL","SWE",0.017232589846647
"45","BRA","SWE",0.00552401569845262
"46","ARG","SWE",0.0248183380726177
"47","ARE","SWE",0.0765075835661359
"48","HRV","SWE",0.0232496936424726
"49","EST","SWE",0.0560903135640423
"50","ISL","SWE",0.0126807358417519
"51","LTU","SWE",0.0686707436420302
"52","KAZ","SWE",0.0636088075532335
"53","ROU","SWE",0.0531219823809379
"54","SRB","SWE",0.0415789917889396
"55","SVN","SWE",0.0174044847778292
"56","BHR","SWE",0.0342098415718399
"57","JOR","SWE",0.0148450207314726
"58","OMN","SWE",0.0355154392721252
"59","KEN","SWE",0.0121196399745675
"60","NGA","SWE",0.0290010488183381
"61","MUS","SWE",0.0108635376694098
"62","MAR","SWE",0.0123706421481229
"63","TUN","SWE",0.0124059277011056
"64","BGD","SWE",0.0176701930347145
"65","LKA","SWE",0.0253970231661073
"66","VNM","SWE",0.0367170434562032
"67","JAM","SWE",0.0157859490427337
"68","PAN","SWE",0.0292014124199995
"69","TTO","SWE",0.0568358085185151
"70","BWA","SWE",0.0118187113866308
"71","ZWE","SWE",0.124345306624052
"72","LBN","SWE",0.015499425659729
