"","Var1","Var2","value"
"2","SGP","SWE",0.136159228885373
"3","PRT","SWE",0.130160125307907
"4","NZL","SWE",0.0181789116842334
"5","NOR","SWE",0.06156629824789
"6","NLD","SWE",0.0444136038738922
"7","JPN","SWE",0.0626863295754564
"8","ITA","SWE",0.0452256881666666
"9","ISR","SWE",0.0587610661319807
"10","IRL","SWE",0.153834674683419
"11","HKG","SWE",0.128140403027105
"12","GBR","SWE",0.0715289927741359
"13","FRA","SWE",0.0208631694925228
"14","FIN","SWE",0.0213742973561654
"15","ESP","SWE",0.0771712418588811
"16","DNK","SWE",0.0508588208107558
"17","DEU","SWE",0.0350989959882146
"18","CHE","SWE",0.0161469296378915
"19","CAN","SWE",0.0242629949635196
"20","BEL","SWE",0.0443553269610277
"21","AUT","SWE",0.0543822088220518
"22","AUS","SWE",0.0294601357413129
"23","ZAF","SWE",0.083655520697818
"24","TUR","SWE",0.0910379553784804
"25","THA","SWE",0.0828767308799981
"26","SAU","SWE",0.232630395206313
"27","PHL","SWE",0.0539746317656288
"28","PER","SWE",0.0537702558998658
"29","PAK","SWE",0.0755342037083928
"30","MYS","SWE",0.040912529283943
"31","MEX","SWE",0.0706970648154406
"32","KOR","SWE",0.177827247275809
"33","IND","SWE",0.0586272194375451
"34","IDN","SWE",0.0514858122157435
"35","EGY","SWE",0.0373602081193498
"36","COL","SWE",0.0389088253899826
"37","CHN","SWE",0.217233871088253
"38","CHL","SWE",0.0869906687118421
"39","BRA","SWE",0.0258200991705919
"40","ARG","SWE",0.0856613441600781
"41","ISL","SWE",0.0288909086342241
"42","OMN","SWE",0.0985585802599766
"43","KEN","SWE",0.149261519976222
"44","NGA","SWE",0.28388960453233
"45","MAR","SWE",0.0396355957477486
"46","TUN","SWE",0.0486180651997507
"47","BGD","SWE",0.0487419451192841
"48","LKA","SWE",0.077647420351185
"49","JAM","SWE",0.070949986428759
"50","PAN","SWE",0.0842736969814312
"51","TTO","SWE",0.154781253591384
"52","BWA","SWE",0.063592435307153
"53","ZWE","SWE",0.254790219777931
"54","SWE","SGP",0.136159228885373
"56","PRT","SGP",0.0251855364930147
"57","NZL","SGP",0.126251073483721
"58","NOR","SGP",0.0785364402346226
"59","NLD","SGP",0.0920359532035809
"60","JPN","SGP",0.0866263108785434
"61","ITA","SGP",0.100473602028813
"62","ISR","SGP",0.0773981627533918
"63","IRL","SGP",0.0867238058456922
"64","HKG","SGP",0.0177103684050151
"65","GBR","SGP",0.0669811952419828
"66","FRA","SGP",0.11529605939285
"67","FIN","SGP",0.128335350502643
"68","ESP","SGP",0.0639894519176885
"69","DNK","SGP",0.0853004080746167
"70","DEU","SGP",0.103446190075439
"71","CHE","SGP",0.120012299247481
"72","CAN","SGP",0.151550371263105
"73","BEL","SGP",0.0918039019243448
"74","AUT","SGP",0.0823466179072658
"75","AUS","SGP",0.139368237947964
"76","ZAF","SGP",0.191997891553895
"77","TUR","SGP",0.0610162095826626
"78","THA","SGP",0.0672113906497643
"79","SAU","SGP",0.318966358030074
"80","PHL","SGP",0.142729420204937
"81","PER","SGP",0.105697683189724
"82","PAK","SGP",0.182185804751014
"83","MYS","SGP",0.0987360487401852
"84","MEX","SGP",0.0867458911737909
"85","KOR","SGP",0.0626344817667989
"86","IND","SGP",0.172689956563013
"87","IDN","SGP",0.138375472968098
"88","EGY","SGP",0.143269373748677
"89","COL","SGP",0.121740455279364
"90","CHN","SGP",0.155921855661055
"91","CHL","SGP",0.0760002552833895
"92","BRA","SGP",0.122969246384775
"93","ARG","SGP",0.12434148106856
"94","ISL","SGP",0.115996635412226
"95","OMN","SGP",0.194556678100472
"96","KEN","SGP",0.26254172552911
"97","NGA","SGP",0.375151611741991
"98","MAR","SGP",0.151185700757308
"99","TUN","SGP",0.138975477497948
"100","BGD","SGP",0.157949471272208
"101","LKA","SGP",0.068066889388864
"102","JAM","SGP",0.0854842673336787
"103","PAN","SGP",0.181046373038633
"104","TTO","SGP",0.23750213862468
"105","BWA","SGP",0.086152710162622
"106","ZWE","SGP",0.383326552958722
"107","SWE","PRT",0.130160125307907
"108","SGP","PRT",0.0251855364930147
"110","NZL","PRT",0.128954193912924
"111","NOR","PRT",0.081085623013111
"112","NLD","PRT",0.0926032567467361
"113","JPN","PRT",0.0962523015508405
"114","ITA","PRT",0.0925082518076432
"115","ISR","PRT",0.0743762892478692
"116","IRL","PRT",0.0636149721031941
"117","HKG","PRT",0.0403105313067919
"118","GBR","PRT",0.0668179270954974
"119","FRA","PRT",0.110468388041523
"120","FIN","PRT",0.124935853978854
"121","ESP","PRT",0.0560241016965191
"122","DNK","PRT",0.0820198849438577
"123","DEU","PRT",0.0974297905362502
"124","CHE","PRT",0.1152512297403
"125","CAN","PRT",0.149940928943025
"126","BEL","PRT",0.0880875297037155
"127","AUT","PRT",0.076776677149152
"128","AUS","PRT",0.139138290963732
"129","ZAF","PRT",0.193524268159374
"130","TUR","PRT",0.0733793782304219
"131","THA","PRT",0.0790642968238703
"132","SAU","PRT",0.332087287923215
"133","PHL","PRT",0.151262855597693
"134","PER","PRT",0.121445183964091
"135","PAK","PRT",0.187043627666534
"136","MYS","PRT",0.108291695770704
"137","MEX","PRT",0.101312034587863
"138","KOR","PRT",0.0498587286589292
"139","IND","PRT",0.17790706317994
"140","IDN","PRT",0.14936822993465
"141","EGY","PRT",0.149808299805193
"142","COL","PRT",0.134861385172505
"143","CHN","PRT",0.132822410384045
"144","CHL","PRT",0.0846295968757673
"145","BRA","PRT",0.12238455666384
"146","ARG","PRT",0.148922271433357
"147","ISL","PRT",0.114657151360816
"148","OMN","PRT",0.201792952709758
"149","KEN","PRT",0.26800436380232
"150","NGA","PRT",0.388272541635132
"151","MAR","PRT",0.151311562600146
"152","TUN","PRT",0.149034396778654
"153","BGD","PRT",0.160809852076832
"154","LKA","PRT",0.0796410723298884
"155","JAM","PRT",0.0914495794298687
"156","PAN","PRT",0.189195944600688
"157","TTO","PRT",0.252171647400109
"158","BWA","PRT",0.0781873599414525
"159","ZWE","PRT",0.383968322505697
"160","SWE","NZL",0.0181789116842334
"161","SGP","NZL",0.126251073483721
"162","PRT","NZL",0.128954193912924
"164","NOR","NZL",0.0513438569882692
"165","NLD","NZL",0.036350937166188
"166","JPN","NZL",0.0639969929880486
"167","ITA","NZL",0.049588173345438
"168","ISR","NZL",0.0546495409895648
"169","IRL","NZL",0.14250976822387
"170","HKG","NZL",0.119684578206816
"171","GBR","NZL",0.0621362668174267
"172","FRA","NZL",0.0204289397374732
"173","FIN","NZL",0.0203417331253044
"174","ESP","NZL",0.0809370758143881
"175","DNK","NZL",0.0470498716880207
"176","DEU","NZL",0.0373909056699457
"177","CHE","NZL",0.0260751610404855
"178","CAN","NZL",0.0322762714330463
"179","BEL","NZL",0.0413222030636984
"180","AUT","NZL",0.0538943657054827
"181","AUS","NZL",0.0292945572331573
"182","ZAF","NZL",0.0834899421896624
"183","TUR","NZL",0.0834249988898673
"184","THA","NZL",0.0805248801972436
"185","SAU","NZL",0.232464816698158
"186","PHL","NZL",0.0544177128798884
"187","PER","NZL",0.0394171552827044
"188","PAK","NZL",0.0742235402958006
"189","MYS","NZL",0.0280606829345408
"190","MEX","NZL",0.0593038249199863
"191","KOR","NZL",0.171601238886725
"192","IND","NZL",0.0558876814141196
"193","IDN","NZL",0.0513202337075878
"194","EGY","NZL",0.0410775507854179
"195","COL","NZL",0.038743246881827
"196","CHN","NZL",0.209025033311649
"197","CHL","NZL",0.0710243202067551
"198","BRA","NZL",0.0387758555842003
"199","ARG","NZL",0.0996268797672486
"200","ISL","NZL",0.021277952145611
"201","OMN","NZL",0.0972689272884174
"202","KEN","NZL",0.146521981952797
"203","NGA","NZL",0.282578941119738
"204","MAR","NZL",0.0394700172395929
"205","TUN","NZL",0.0484524866915951
"206","BGD","NZL",0.047431281706692
"207","LKA","NZL",0.0634614755594127
"208","JAM","NZL",0.0570854866316456
"209","PAN","NZL",0.0829630335688391
