"Year","Magnitude","growth","gb","ga","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
1960,18062.4699207314,0,0,3.73997811803605,3.73997811803605,0,17562.6661462696,1.02845830868156,0,NA,NA,"Sweden","SWE"
1961,18998.9401153673,5.18461870799328,0,3.43613176423505,3.43613176423505,-1.49901369500877,17671.2247077149,1.07513431749146,4.66760088098965,NA,NA,"Sweden","SWE"
1962,19699.1660046732,3.6856050129845,0,3.5201475080439,3.5201475080439,1.05033486208624,18463.0138577112,1.06695289060002,-0.818142689144064,NA,NA,"Sweden","SWE"
1963,20632.1066625449,4.73593987507075,0,3.74249006086653,3.74249006086653,1.29011925277571,18999.9685105065,1.08590215037124,1.8949259771222,NA,NA,"Sweden","SWE"
1964,21875.4096093502,6.02605912784645,0,2.91768659332867,2.91768659332867,-3.1777993501814,19824.6714466982,1.10344374019846,1.75415898272138,1.49970863033783,NA,"Sweden","SWE"
1965,22498.4781024528,2.84825977766505,0,2.79463824493347,2.79463824493347,-1.72427020917849,20831.3876137092,1.08002781762106,-2.34159225773927,1.03139017878998,-0.468318451547853,"Sweden","SWE"
1966,22751.3586493926,1.12398956848656,3.37206743857808,3.1753443141241,-0.196723124453988,1.45138518771923,21930.6836563618,1.03742131371234,-4.26065039087236,-0.754260075582423,-1.7856502543724,"Sweden","SWE"
1967,23337.2913967429,2.57537475620579,3.73997811803605,3.22160289368103,-0.518375224355027,0.482319475180419,22235.5094759342,1.04955055884828,1.21292451359374,-0.348046635034862,0.40621344054756,"Sweden","SWE"
1968,24050.8744095429,3.05769423138621,3.43613176423505,3.09139703482016,-0.344734729414885,1.21602098826029,23071.3021126072,1.0424584746953,-0.709208415297957,-0.868873513518893,-0.520826878484031,"Sweden","SWE"
1969,25078.7402896416,4.2737152196465,3.5201475080439,2.57961459243621,-0.940532915607696,2.01862252518268,23555.1926140072,1.06467990733934,2.22214326440469,-0.775276657182231,0.0935968563366618,"Sweden","SWE"
1970,26656.7793308144,6.29233774482918,3.74249006086653,1.40283389353678,-2.33965616732975,-6.03990288974781,23207.2199345419,1.14864164712543,8.39617397860888,1.3722765900874,2.14755324726963,"Sweden","SWE"
1971,26724.0703330875,0.252434855081367,2.91768659332867,1.57473373616632,-1.34295285716235,1.73448648381728,23670.3457329415,1.12901056176362,-1.96310853618085,1.8317849610257,0.459508370938302,"Sweden","SWE"
1972,27255.0565891579,1.98692133889865,2.79463824493347,1.80712319051586,-0.9875150544176,1.80201071392234,24649.8447340946,1.10568877342501,-2.3321788338619,1.12276429153457,-0.709020669491127,"Sweden","SWE"
1973,28287.732164279,3.78893205282099,3.1753443141241,1.47923763432311,-1.69610667980099,-0.889747239716683,25794.1281646904,1.09667331974422,-0.901545368078205,1.08429690097852,-0.0384673905560495,"Sweden","SWE"
1974,29107.8457991574,2.8991848131043,3.22160289368103,1.11284505895329,-2.10875783472774,-0.752931593744166,25421.3696690803,1.1450148508151,4.83415310708728,1.60669886951504,0.522401968536519,"Sweden","SWE"
1975,29732.5738767082,2.14625321936014,3.09139703482016,0.976348224708865,-2.1150488101113,-1.45501509640133,25120.2308506013,1.18361069424633,3.85958434312301,0.699380942417869,-0.907317927097173,"Sweden","SWE"
1976,29938.0967622809,0.691238122958813,2.57961459243621,1.1425306470852,-1.437083945351,-2.6363652704256,26223.3764438993,1.14165682769069,-4.19538665556345,0.252925318541348,-0.44645562387652,"Sweden","SWE"
1977,29355.7627147229,-1.94512714746679,1.40283389353678,2.01110099492867,0.608267101391887,3.4008609009549,27161.4266864969,1.08078868807421,-6.08681396164794,-0.498001707015861,-0.750927025557209,"Sweden","SWE"
1978,29783.104461155,1.45573375348811,1.57473373616632,2.08767818746028,0.512944451293964,2.15791376585737,28362.7717999046,1.05007735743427,-3.07113306399449,-0.931919246199118,-0.433917539183257,"Sweden","SWE"
1979,30859.3608766996,3.61364751934548,1.80712319051586,1.92183891515643,0.114715724640566,-2.11991435987378,28939.6399380538,1.06633534289836,1.62579854640896,-1.57359015833478,-0.641670912135663,"Sweden","SWE"
1980,31320.3173829159,1.4937331594717,1.47923763432311,2.13838385900567,0.659146224682561,-1.15929637395612,28589.6727263776,1.09551157450008,2.91762316017217,-1.76198239492495,-0.188392236590169,"Sweden","SWE"
1981,31425.0640455846,0.334436785515582,1.11284505895329,2.38900153519501,1.27615647624172,0.856338594133573,29028.9014949687,1.08254403119702,-1.29675433030598,-1.18225592987346,0.579726465051493,"Sweden","SWE"
1982,31799.2659712784,1.19077537964916,0.976348224708865,2.50063237635794,1.52428415164907,0.663739699944019,28235.0896669897,1.12623215815233,4.3688126955312,0.908869401562371,2.09112533143583,"Sweden","SWE"
1983,32388.9881539157,1.85451507959317,1.1425306470852,2.23273605419904,1.09020540711384,2.2803502078443,29260.5861818018,1.10691521874089,-1.93169394114447,1.13675722613237,0.227887824570003,"Sweden","SWE"
1984,33728.2291820442,4.13486528743748,2.01110099492867,1.38239598841566,-0.62870500651301,-2.14309118622808,31107.5596252041,1.08424542421247,-2.26697945284142,0.358201626282297,-0.778555599850077,"Sweden","SWE"
1985,34400.0193156887,1.9917741012094,2.08767818746028,0.849766780146652,-1.23791140731363,0.460998512009128,32118.7594245791,1.07102577845407,-1.32196457584062,-0.48971592092026,-0.847917547202557,"Sweden","SWE"
1986,35243.7735684058,2.45277261321853,1.92183891515643,0.123255199433967,-1.79858371572246,0.55677515319785,32925.2266777911,1.07041855514934,-0.0607223304721849,-0.2425095209535,0.24720639996676,"Sweden","SWE"
1987,36304.4517686346,3.00954776641638,2.13838385900567,0.149599147045795,-1.98878471195988,-0.920787247575417,33761.1788391719,1.07533128335293,0.491272820358857,-1.01801749598797,-0.775507975034468,"Sweden","SWE"
